category,material,material_cost,labour_hours,labour_rate,quality_score,craftsmanship_complexity,size_scale,season_demand_index,market_reference_price,selling_price
Carved Woodwork,Seasoned Teakwood,2410.0,59.0,100.0,4.1,1,4,1.22,12651.98,12721.76
Handloom Textiles,Handspun Cotton,245.39,23.3,70.0,2.5,4,1,1.31,3377.5,3359.13
Handloom Textiles,Chanderi Cotton-Silk,627.77,59.2,70.0,2.6,4,4,1.33,8589.19,9029.58
Terracotta & Clay,Black Clay,1595.35,43.9,180.0,4.5,4,3,1.03,14246.02,15895.7
Folk Paintings,Cotton Canvas,1467.51,53.7,120.0,3.1,4,1,1.27,15190.1,14237.66
Dhokra & Brass Craft,Recycled Bell Metal Brass,236.54,76.6,150.0,4.2,4,4,1.13,21811.36,20431.48
Terracotta & Clay,Black Clay,2239.91,37.1,150.0,4.1,4,1,1.25,11707.36,14549.98
Carved Woodwork,Sheesham Wood,1983.94,77.7,120.0,4.9,2,3,1.27,18036.16,19653.16
Terracotta & Clay,Black Clay,1064.87,71.6,85.0,3.4,4,2,1.35,10726.3,13661.94
Terracotta & Clay,Natural Alluvial Clay,1224.59,50.9,180.0,4.0,5,4,1.0,16229.05,15589.55
Handloom Textiles,Handspun Cotton,93.32,3.6,180.0,4.6,4,4,1.04,1334.38,1131.77
Folk Paintings,Cotton Canvas,790.24,74.7,70.0,4.5,1,1,1.31,10112.32,10171.55
Handloom Textiles,Chanderi Cotton-Silk,2209.27,47.3,200.0,3.7,3,3,1.13,20129.49,19675.39
Handloom Textiles,Handspun Cotton,704.78,54.9,70.0,4.6,4,2,1.26,8186.0,8697.61
Terracotta & Clay,Black Clay,85.09,58.3,200.0,2.6,4,2,1.03,17617.63,17403.78
Carved Woodwork,Sheesham Wood,303.33,48.9,120.0,4.8,4,2,1.06,10738.11,10573.68
Terracotta & Clay,Black Clay,1078.67,52.7,85.0,3.4,3,5,0.91,7989.87,7283.04
Terracotta & Clay,Black Clay,2194.35,58.7,100.0,4.4,5,3,1.17,12600.55,15064.76
Blue Pottery & Ceramics,Quartz Powder Frit,1761.62,44.0,100.0,3.7,5,2,1.36,10782.83,12557.95
Terracotta & Clay,Black Clay,2056.47,8.2,150.0,4.2,2,4,1.24,4518.9,5673.73
Terracotta & Clay,Natural Alluvial Clay,2165.42,48.5,120.0,4.5,3,3,1.33,11479.04,15317.55
Dhokra & Brass Craft,Bronze Alloy,975.53,5.1,120.0,4.2,2,4,1.12,2706.74,2564.79
Carved Woodwork,Seasoned Teakwood,2234.03,29.6,120.0,3.3,2,4,1.09,9228.72,8499.94
Terracotta & Clay,Terracotta Red Clay,2130.08,43.9,120.0,4.0,1,4,0.98,9709.98,9905.19
Blue Pottery & Ceramics,Quartz Powder Frit,632.94,78.3,100.0,4.9,4,2,0.92,14217.74,12537.86
Blue Pottery & Ceramics,Porcelain Clay,136.51,61.2,200.0,3.7,2,5,1.32,19059.83,21530.09
Handloom Textiles,Mulberry Silk,987.02,39.5,180.0,4.0,4,1,1.39,14574.64,15989.74
Folk Paintings,Handmade Vasli Paper,453.03,45.6,85.0,2.9,5,3,1.32,8658.06,8099.29
Dhokra & Brass Craft,Bronze Alloy,2080.89,57.6,85.0,2.6,4,5,1.38,12977.02,12523.03
Carved Woodwork,Rosewood,416.86,37.2,200.0,4.5,4,3,1.29,13670.94,15905.63
Dhokra & Brass Craft,Bronze Alloy,1588.64,46.8,85.0,3.7,5,4,1.33,10785.36,11593.35
Dhokra & Brass Craft,Recycled Bell Metal Brass,1529.87,30.2,200.0,4.7,5,3,1.17,14666.62,14657.61
Handloom Textiles,Handspun Cotton,1727.43,38.9,85.0,4.9,1,3,1.13,7928.44,7911.45
Folk Paintings,Tussar Silk Fabric,811.92,40.8,100.0,3.0,3,3,1.36,9001.13,9122.42
Dhokra & Brass Craft,Bronze Alloy,1836.23,71.9,100.0,3.5,3,4,1.3,16089.25,16474.09
Carved Woodwork,Seasoned Teakwood,1142.74,68.2,100.0,3.3,3,3,0.92,13277.87,10438.56
Folk Paintings,Handmade Vasli Paper,2321.85,4.5,180.0,4.2,3,3,1.25,5762.6,5657.7
Carved Woodwork,Sheesham Wood,886.85,59.4,180.0,4.9,3,3,1.0,19307.73,17417.64
Blue Pottery & Ceramics,Quartz Powder Frit,297.35,3.2,100.0,4.3,1,5,1.27,907.5,1047.81
Handloom Textiles,Handspun Cotton,1934.0,68.1,85.0,2.8,1,2,0.94,12162.94,8923.36
Carved Woodwork,Sheesham Wood,139.29,26.6,100.0,4.1,5,5,1.25,5073.71,5568.6
Terracotta & Clay,Black Clay,2117.82,21.7,180.0,2.6,2,2,1.1,8282.75,8500.13
Carved Woodwork,Sheesham Wood,760.03,64.9,180.0,2.9,3,5,1.19,20747.09,20122.97
Folk Paintings,Handmade Vasli Paper,161.48,19.5,100.0,4.1,1,2,1.19,3547.29,3460.27
Folk Paintings,Cotton Canvas,665.47,58.0,120.0,3.3,4,5,1.36,14640.9,14674.71
Folk Paintings,Cotton Canvas,403.86,51.5,100.0,3.2,1,1,0.9,9330.48,6815.51
Blue Pottery & Ceramics,Quartz Powder Frit,193.38,24.3,180.0,4.7,2,1,1.07,7033.77,7076.09
Blue Pottery & Ceramics,Ceramic Glaze,2238.33,36.4,70.0,3.4,4,3,0.94,8041.03,6495.12
Blue Pottery & Ceramics,Porcelain Clay,1275.03,32.8,100.0,4.6,2,5,1.26,7014.75,8140.24
Carved Woodwork,Rosewood,2380.87,57.1,180.0,3.2,4,3,1.22,22026.43,22263.41
Handloom Textiles,Mulberry Silk,333.64,41.4,200.0,3.8,1,3,1.13,13566.48,12476.81
Carved Woodwork,Seasoned Teakwood,206.7,62.1,85.0,3.9,4,2,1.01,9544.25,8135.32
Terracotta & Clay,Terracotta Red Clay,1222.92,70.8,70.0,4.5,5,5,1.05,9654.56,10555.61
Blue Pottery & Ceramics,Porcelain Clay,843.82,52.7,150.0,4.2,1,4,0.94,12860.77,10820.88
Dhokra & Brass Craft,Copper Brass Blend,1693.82,66.4,180.0,3.8,4,5,1.24,25381.23,25500.95
Blue Pottery & Ceramics,Ceramic Glaze,1796.71,76.1,100.0,3.7,1,4,1.2,13827.86,14352.47
Handloom Textiles,Chanderi Cotton-Silk,2203.91,6.2,85.0,4.2,4,4,1.03,4915.64,4304.19
Carved Woodwork,Rosewood,1472.36,8.9,200.0,4.5,2,5,1.03,5187.51,4758.2
Handloom Textiles,Handspun Cotton,1951.0,42.9,120.0,4.1,4,3,1.23,12778.2,13630.55
Dhokra & Brass Craft,Recycled Bell Metal Brass,1403.65,66.9,200.0,4.5,5,3,1.05,28643.32,25628.07
Dhokra & Brass Craft,Recycled Bell Metal Brass,632.33,22.0,120.0,3.7,4,4,0.93,6086.53,4749.78
Carved Woodwork,Sheesham Wood,964.95,20.4,120.0,4.0,1,2,1.32,5196.22,5844.67
Dhokra & Brass Craft,Recycled Bell Metal Brass,748.49,78.6,120.0,3.5,4,3,1.03,18935.71,16036.38
Folk Paintings,Handmade Vasli Paper,2234.14,57.5,85.0,4.2,2,5,1.15,12534.09,11457.94
Terracotta & Clay,Black Clay,187.84,35.0,180.0,3.8,5,2,1.24,10137.25,12238.62
Folk Paintings,Cotton Canvas,1192.39,45.1,150.0,3.6,3,5,1.14,14641.6,12827.68
Handloom Textiles,Chanderi Cotton-Silk,1711.92,13.5,100.0,4.5,3,4,1.23,5281.81,5622.66
Carved Woodwork,Rosewood,2454.37,46.9,100.0,3.6,2,3,0.99,11395.27,9445.7
Folk Paintings,Cotton Canvas,111.53,4.1,120.0,4.5,3,5,1.37,1110.5,1219.99
Blue Pottery & Ceramics,Ceramic Glaze,1912.69,15.4,180.0,4.3,1,3,1.23,6886.49,7757.19
Dhokra & Brass Craft,Bronze Alloy,1947.34,41.4,70.0,4.6,4,5,1.09,9012.33,8679.39
Handloom Textiles,Mulberry Silk,858.44,68.3,100.0,3.1,3,1,1.1,13262.56,11793.74
Carved Woodwork,Seasoned Teakwood,81.07,72.4,180.0,3.5,3,2,1.4,21866.04,24297.15
Handloom Textiles,Mulberry Silk,2302.59,76.2,100.0,3.2,1,2,1.4,15628.08,16245.03
Handloom Textiles,Handspun Cotton,947.76,53.6,85.0,4.8,2,5,1.39,9081.2,10621.5
Terracotta & Clay,Natural Alluvial Clay,438.59,55.3,70.0,4.9,5,3,1.18,6733.73,8445.56
Handloom Textiles,Chanderi Cotton-Silk,869.74,67.7,150.0,3.4,2,5,1.11,18190.82,16343.36
Blue Pottery & Ceramics,Quartz Powder Frit,1510.54,17.3,100.0,4.0,4,1,1.08,5444.11,5544.58
Blue Pottery & Ceramics,Porcelain Clay,2208.38,38.4,200.0,4.5,5,4,1.25,17304.67,20180.33
Dhokra & Brass Craft,Bronze Alloy,2199.64,44.5,120.0,3.6,5,5,1.28,14608.05,15387.51
Terracotta & Clay,Natural Alluvial Clay,1088.09,43.2,150.0,4.3,5,5,1.12,11825.14,13183.13
Dhokra & Brass Craft,Copper Brass Blend,1630.34,35.0,150.0,3.6,2,5,1.26,11730.98,11308.12
Dhokra & Brass Craft,Copper Brass Blend,519.51,31.6,100.0,5.0,4,5,1.17,6843.89,6810.63
Blue Pottery & Ceramics,Ceramic Glaze,130.02,23.7,180.0,4.0,3,2,1.14,7077.59,6997.71
Terracotta & Clay,Black Clay,1808.91,61.4,180.0,4.5,1,3,1.08,16879.94,19238.34
Dhokra & Brass Craft,Bronze Alloy,2308.81,56.5,200.0,4.6,1,1,0.92,22148.34,18114.85
Terracotta & Clay,Natural Alluvial Clay,424.05,19.4,120.0,4.9,3,1,1.25,3956.07,5185.62
Terracotta & Clay,Natural Alluvial Clay,1000.85,15.6,120.0,3.5,3,3,1.32,4129.72,5451.87
Folk Paintings,Cotton Canvas,1570.51,67.9,200.0,3.1,3,5,1.31,27876.94,27567.96
Dhokra & Brass Craft,Recycled Bell Metal Brass,1301.61,58.3,180.0,2.8,3,3,1.1,21025.67,17751.14
Dhokra & Brass Craft,Copper Brass Blend,2174.02,15.1,120.0,4.1,2,3,1.15,6796.16,6360.96
Dhokra & Brass Craft,Bronze Alloy,2095.45,72.8,85.0,3.1,4,1,1.17,15407.22,13825.65
Folk Paintings,Handmade Vasli Paper,822.4,30.2,70.0,4.8,5,1,1.34,5872.8,6150.5
Terracotta & Clay,Terracotta Red Clay,283.09,28.7,180.0,3.3,2,4,1.39,7492.5,9891.26
Carved Woodwork,Sheesham Wood,1855.04,11.9,200.0,3.5,5,4,1.04,7676.01,6741.59
Terracotta & Clay,Terracotta Red Clay,1169.28,78.2,85.0,4.9,5,4,1.1,12212.94,13346.15
Handloom Textiles,Mulberry Silk,1785.02,35.6,100.0,3.8,3,3,1.0,9220.16,7376.9
Carved Woodwork,Sheesham Wood,1749.26,14.1,200.0,2.7,5,4,1.05,8281.78,7114.55
Folk Paintings,Tussar Silk Fabric,1589.23,52.9,180.0,4.1,3,3,1.24,20444.66,20558.88
Terracotta & Clay,Black Clay,736.05,49.0,150.0,2.9,3,2,1.12,11623.7,12698.75
Handloom Textiles,Chanderi Cotton-Silk,595.67,75.3,150.0,3.0,4,2,1.09,21403.21,18810.01
Handloom Textiles,Chanderi Cotton-Silk,692.51,37.7,70.0,3.1,1,5,1.21,5247.13,4916.2
Folk Paintings,Cotton Canvas,326.58,3.6,180.0,3.3,4,3,0.94,1871.19,1396.24
Carved Woodwork,Seasoned Teakwood,1320.8,36.8,100.0,4.0,1,3,1.22,7613.72,8031.66
Blue Pottery & Ceramics,Ceramic Glaze,1808.01,10.0,70.0,4.5,4,1,1.01,4213.46,3858.62
Dhokra & Brass Craft,Recycled Bell Metal Brass,1107.95,19.6,70.0,4.2,2,2,1.34,4228.31,4481.98
Dhokra & Brass Craft,Copper Brass Blend,765.6,63.6,100.0,4.0,1,3,1.16,11596.91,10852.63
Terracotta & Clay,Natural Alluvial Clay,1494.37,44.5,70.0,4.7,1,5,1.23,6049.8,7471.02
Dhokra & Brass Craft,Recycled Bell Metal Brass,1075.44,70.3,100.0,4.3,2,4,1.17,13819.78,13522.51
Blue Pottery & Ceramics,Ceramic Glaze,1290.19,63.5,85.0,2.6,4,5,1.13,11235.32,10402.97
Carved Woodwork,Rosewood,760.11,57.9,180.0,4.1,1,5,0.98,17024.76,15070.19
Handloom Textiles,Chanderi Cotton-Silk,1738.03,11.5,150.0,2.5,4,4,1.12,6233.45,5488.22
Blue Pottery & Ceramics,Porcelain Clay,696.82,60.2,85.0,4.6,1,5,1.05,8546.32,8063.98
Blue Pottery & Ceramics,Ceramic Glaze,2357.51,70.5,150.0,4.8,3,5,1.15,20821.34,21453.19
Folk Paintings,Handmade Vasli Paper,2158.34,55.1,70.0,3.4,3,1,0.91,11068.23,7872.52
Handloom Textiles,Mulberry Silk,1011.22,40.7,150.0,2.9,5,2,1.17,13342.91,11740.09
Carved Woodwork,Sheesham Wood,798.22,44.7,180.0,2.5,3,2,1.34,14747.74,15604.67
Dhokra & Brass Craft,Bronze Alloy,1336.52,49.8,180.0,2.9,3,4,1.19,18360.68,16250.91
Dhokra & Brass Craft,Recycled Bell Metal Brass,1083.66,61.0,70.0,3.9,2,2,0.99,9127.99,6854.05
Folk Paintings,Handmade Vasli Paper,1608.03,44.0,150.0,4.2,5,5,1.07,16416.06,14254.85
Blue Pottery & Ceramics,Quartz Powder Frit,579.13,33.2,70.0,4.2,2,1,1.38,4470.82,5567.34
Dhokra & Brass Craft,Recycled Bell Metal Brass,1709.26,34.4,150.0,4.1,2,4,1.34,11712.09,13165.55
Folk Paintings,Handmade Vasli Paper,1376.29,67.4,70.0,4.7,1,3,0.96,10238.41,8321.03
Handloom Textiles,Chanderi Cotton-Silk,2065.85,34.2,200.0,3.7,5,1,1.3,16698.47,16864.57
Dhokra & Brass Craft,Bronze Alloy,242.08,70.6,120.0,3.0,4,4,1.17,16208.19,14654.92
Handloom Textiles,Handspun Cotton,2473.91,20.8,150.0,3.9,5,3,1.01,10488.58,9122.84
Folk Paintings,Cotton Canvas,981.53,8.3,180.0,3.4,4,4,0.92,4753.02,3523.78
Folk Paintings,Tussar Silk Fabric,2091.91,67.9,70.0,2.5,4,2,1.29,13142.23,12188.57
Terracotta & Clay,Natural Alluvial Clay,1492.59,63.2,150.0,3.4,2,4,0.97,15087.31,14653.17
Handloom Textiles,Chanderi Cotton-Silk,491.11,18.0,120.0,3.5,2,1,1.03,4374.33,3884.26
Dhokra & Brass Craft,Recycled Bell Metal Brass,1663.0,71.5,150.0,3.9,2,4,1.14,21121.54,18932.65
Dhokra & Brass Craft,Recycled Bell Metal Brass,664.43,19.5,180.0,4.7,2,4,1.27,7117.4,7794.81
Terracotta & Clay,Terracotta Red Clay,1764.7,32.5,85.0,3.6,1,1,1.03,5941.95,5978.0
Terracotta & Clay,Terracotta Red Clay,732.22,17.7,85.0,3.2,3,4,1.31,3215.29,4008.58
Blue Pottery & Ceramics,Porcelain Clay,1959.83,66.3,200.0,5.0,4,2,1.25,25569.31,29046.36
Terracotta & Clay,Natural Alluvial Clay,708.18,5.6,150.0,4.7,5,4,0.92,2419.03,2206.18
Blue Pottery & Ceramics,Ceramic Glaze,1118.14,18.5,200.0,4.8,5,2,1.32,8431.74,10426.07
Folk Paintings,Tussar Silk Fabric,2497.32,28.2,200.0,4.5,5,2,0.9,16274.64,11752.36
Dhokra & Brass Craft,Copper Brass Blend,1462.21,26.4,150.0,2.8,4,3,1.08,10085.31,8494.74
Carved Woodwork,Seasoned Teakwood,641.48,4.1,180.0,4.8,1,4,0.92,2100.26,1865.63
Dhokra & Brass Craft,Bronze Alloy,1443.42,51.1,150.0,3.5,3,1,0.93,16235.76,12793.39
Blue Pottery & Ceramics,Ceramic Glaze,415.01,47.6,100.0,4.7,3,2,1.07,8331.77,8541.68
Handloom Textiles,Chanderi Cotton-Silk,592.16,79.7,120.0,3.7,1,2,1.26,15995.95,16101.34
Dhokra & Brass Craft,Recycled Bell Metal Brass,1712.98,55.2,85.0,2.8,3,5,1.22,11416.88,10588.94
Terracotta & Clay,Black Clay,1767.07,52.9,85.0,3.9,1,4,1.11,8220.94,8615.04
Folk Paintings,Cotton Canvas,226.66,55.8,70.0,4.0,3,4,1.13,7604.09,7289.59
Carved Woodwork,Sheesham Wood,2282.72,52.2,85.0,3.5,5,2,1.19,12179.49,12395.08
Blue Pottery & Ceramics,Porcelain Clay,1514.67,30.3,180.0,4.3,5,2,0.94,12195.17,10613.01
Carved Woodwork,Rosewood,2216.65,53.7,200.0,3.8,3,3,1.27,21605.21,23914.22
Dhokra & Brass Craft,Copper Brass Blend,152.66,72.1,200.0,4.0,1,5,0.93,23717.0,18015.79
Carved Woodwork,Rosewood,1133.65,33.5,70.0,4.6,5,3,1.18,6305.05,6577.32
Blue Pottery & Ceramics,Ceramic Glaze,1229.38,7.3,85.0,2.7,5,4,1.39,3237.29,3859.68
Folk Paintings,Handmade Vasli Paper,2421.98,36.9,200.0,4.5,5,4,1.31,19603.96,19828.64
Handloom Textiles,Handspun Cotton,491.68,72.2,85.0,3.4,2,3,1.18,10937.32,10011.12
Folk Paintings,Handmade Vasli Paper,1237.96,63.1,180.0,3.3,4,4,1.14,24184.24,21091.95
Blue Pottery & Ceramics,Quartz Powder Frit,1810.75,24.7,85.0,3.6,5,1,1.19,6842.94,6964.42
Dhokra & Brass Craft,Recycled Bell Metal Brass,2166.53,27.2,200.0,2.8,5,1,1.28,14737.65,13268.61
Terracotta & Clay,Black Clay,1434.18,55.9,120.0,3.4,3,2,0.96,11704.38,11609.86
Carved Woodwork,Rosewood,1925.12,12.7,150.0,4.7,1,5,1.16,5831.36,6091.8
Folk Paintings,Tussar Silk Fabric,1054.72,77.7,70.0,4.4,3,4,0.98,11948.44,10172.71
Dhokra & Brass Craft,Copper Brass Blend,522.47,66.6,180.0,4.0,1,3,1.37,20360.79,22056.95
Dhokra & Brass Craft,Copper Brass Blend,1467.2,29.0,120.0,4.2,1,5,1.34,8051.57,8927.34
Folk Paintings,Handmade Vasli Paper,1588.82,49.2,70.0,4.1,5,1,0.98,10065.64,7545.7
Terracotta & Clay,Terracotta Red Clay,653.74,76.0,200.0,3.2,3,2,1.29,22789.75,27073.51
Handloom Textiles,Chanderi Cotton-Silk,95.57,62.5,150.0,2.9,2,2,1.16,15626.44,14371.8
Blue Pottery & Ceramics,Quartz Powder Frit,1793.65,39.6,100.0,2.6,5,1,1.16,10068.89,9786.07
Carved Woodwork,Rosewood,2283.67,42.3,200.0,2.8,4,1,1.33,18693.99,20318.99
Terracotta & Clay,Black Clay,1206.95,62.6,70.0,4.0,3,4,1.09,8034.12,8921.16
Blue Pottery & Ceramics,Ceramic Glaze,214.37,46.8,200.0,4.4,2,5,1.33,14744.53,16911.49
Handloom Textiles,Chanderi Cotton-Silk,1349.86,62.7,100.0,3.5,1,5,1.38,12001.28,12769.38
Dhokra & Brass Craft,Copper Brass Blend,722.5,50.1,100.0,3.0,4,2,1.21,10662.45,9992.77
Folk Paintings,Cotton Canvas,2289.29,29.2,150.0,2.5,1,1,1.07,11204.41,9344.84
Carved Woodwork,Sheesham Wood,2002.64,24.4,180.0,2.7,3,4,1.03,10663.06,9211.13
Carved Woodwork,Sheesham Wood,2327.29,7.8,70.0,3.1,4,5,1.12,4999.52,4579.84
Blue Pottery & Ceramics,Porcelain Clay,676.91,39.3,85.0,4.8,4,2,0.99,6749.25,6215.09
Dhokra & Brass Craft,Recycled Bell Metal Brass,96.64,19.4,150.0,3.1,2,2,1.35,5126.32,5198.87
Carved Woodwork,Rosewood,803.23,11.2,180.0,3.0,3,2,1.2,4701.07,4628.7
Handloom Textiles,Mulberry Silk,1255.68,12.0,150.0,3.7,2,4,1.27,5041.87,5263.1
Terracotta & Clay,Natural Alluvial Clay,1492.32,33.0,180.0,4.8,4,4,1.19,11148.48,14489.32
Blue Pottery & Ceramics,Ceramic Glaze,870.84,3.8,200.0,3.1,5,2,1.19,2853.97,2920.59
Handloom Textiles,Chanderi Cotton-Silk,2452.98,19.5,70.0,4.7,2,1,1.25,6299.67,7017.23
Carved Woodwork,Rosewood,497.51,46.7,200.0,3.9,5,4,1.39,17830.49,21292.21
Terracotta & Clay,Black Clay,2426.73,36.2,200.0,2.9,4,1,1.25,14500.1,16052.84
Terracotta & Clay,Natural Alluvial Clay,413.68,56.0,85.0,4.6,1,3,1.08,6790.46,7487.67
Folk Paintings,Tussar Silk Fabric,205.32,45.9,150.0,2.7,1,5,1.32,11911.74,11074.0
Handloom Textiles,Chanderi Cotton-Silk,2073.17,32.6,70.0,3.2,3,4,0.96,7512.67,5687.86
Folk Paintings,Cotton Canvas,1734.96,43.9,85.0,4.8,2,4,1.02,9620.97,8526.28
Carved Woodwork,Seasoned Teakwood,2326.01,68.1,200.0,3.5,3,3,0.92,26589.97,22117.63
Dhokra & Brass Craft,Recycled Bell Metal Brass,1648.73,20.8,100.0,3.5,4,5,1.12,6935.44,6503.26
Folk Paintings,Cotton Canvas,1381.43,24.4,200.0,3.5,4,3,0.91,12021.95,8630.07
Folk Paintings,Handmade Vasli Paper,612.61,42.9,85.0,3.9,3,1,1.06,7836.76,6168.77
Handloom Textiles,Handspun Cotton,771.39,10.0,180.0,3.8,5,5,1.11,4821.36,4400.17
Carved Woodwork,Sheesham Wood,2075.22,14.3,150.0,2.5,2,5,1.12,6731.25,6098.05
Blue Pottery & Ceramics,Ceramic Glaze,683.8,45.2,70.0,3.3,4,3,1.18,6464.3,6525.08
Blue Pottery & Ceramics,Porcelain Clay,1805.09,56.6,200.0,3.5,1,3,1.07,19293.88,18500.01
Folk Paintings,Handmade Vasli Paper,1048.51,63.3,100.0,3.6,2,3,1.4,12986.18,14018.34
Carved Woodwork,Rosewood,1192.35,36.2,100.0,4.8,2,3,1.34,7675.7,9147.65
Folk Paintings,Handmade Vasli Paper,467.75,16.2,200.0,4.4,2,1,1.25,6525.64,6016.82
Folk Paintings,Tussar Silk Fabric,2028.01,7.0,100.0,4.0,2,2,1.02,4801.3,3988.44
Carved Woodwork,Seasoned Teakwood,1095.5,6.9,100.0,3.6,3,2,1.33,2977.32,3273.33
Dhokra & Brass Craft,Bronze Alloy,2371.15,63.2,100.0,3.3,2,4,1.08,14818.41,12549.94
Blue Pottery & Ceramics,Porcelain Clay,1375.59,46.6,200.0,2.8,4,4,1.11,17968.59,16811.33
Dhokra & Brass Craft,Recycled Bell Metal Brass,616.71,27.5,120.0,4.5,5,2,0.95,7588.63,5822.56
Carved Woodwork,Seasoned Teakwood,282.13,19.3,85.0,4.2,4,4,1.28,3345.38,3652.73
Handloom Textiles,Chanderi Cotton-Silk,1252.23,56.4,120.0,2.9,2,5,1.3,13233.38,13091.81
Carved Woodwork,Seasoned Teakwood,728.98,30.8,180.0,2.8,2,5,1.31,10005.4,10543.74
Folk Paintings,Handmade Vasli Paper,896.83,64.8,100.0,4.1,5,4,1.34,14753.66,15444.9
Dhokra & Brass Craft,Copper Brass Blend,1648.41,70.4,200.0,4.6,1,4,0.95,25597.99,21291.2
Handloom Textiles,Chanderi Cotton-Silk,1865.84,30.8,85.0,2.6,4,2,0.92,8070.91,5999.19
Carved Woodwork,Rosewood,489.13,30.1,100.0,3.9,5,3,1.39,6342.17,6837.28
Blue Pottery & Ceramics,Porcelain Clay,1075.08,35.9,120.0,4.2,5,3,1.04,9420.39,9131.04
Carved Woodwork,Rosewood,1219.7,40.9,70.0,4.1,5,2,1.3,7399.89,8925.4
Blue Pottery & Ceramics,Porcelain Clay,384.81,78.4,100.0,4.9,3,4,0.98,13241.94,12636.92
Terracotta & Clay,Natural Alluvial Clay,1679.96,53.2,200.0,2.6,5,1,1.32,19249.94,23157.56
Dhokra & Brass Craft,Copper Brass Blend,1856.65,29.3,85.0,4.0,4,1,1.13,8085.7,7248.67
Carved Woodwork,Sheesham Wood,796.16,54.1,180.0,3.5,4,5,1.19,18329.44,19433.96
Handloom Textiles,Chanderi Cotton-Silk,1290.67,8.3,180.0,4.6,2,2,1.1,4594.71,4463.11
Carved Woodwork,Sheesham Wood,1351.64,56.7,120.0,4.0,1,5,1.24,12416.96,12885.25
Blue Pottery & Ceramics,Ceramic Glaze,795.89,3.1,100.0,2.7,5,4,1.06,1935.31,1727.72
Folk Paintings,Cotton Canvas,1736.8,72.5,200.0,3.9,4,1,1.32,31174.66,31081.49
Carved Woodwork,Sheesham Wood,850.19,71.9,200.0,4.3,3,3,0.9,25396.34,20119.25
Dhokra & Brass Craft,Bronze Alloy,111.21,44.6,150.0,4.9,3,5,1.16,12123.16,12526.02
Folk Paintings,Tussar Silk Fabric,1408.27,32.3,150.0,5.0,3,1,1.09,11506.02,10198.17
Dhokra & Brass Craft,Copper Brass Blend,2469.35,37.2,150.0,2.7,3,4,1.19,14347.97,12866.82
Terracotta & Clay,Black Clay,871.2,26.5,70.0,3.7,4,5,1.25,4089.3,5162.36
Handloom Textiles,Chanderi Cotton-Silk,369.34,47.1,120.0,4.4,4,3,1.15,10838.41,10476.73
Folk Paintings,Tussar Silk Fabric,1578.4,17.4,120.0,4.4,4,4,1.15,7039.49,6447.86
Carved Woodwork,Sheesham Wood,1347.02,24.7,200.0,4.0,4,1,0.94,10939.41,9324.18
Dhokra & Brass Craft,Copper Brass Blend,2440.64,39.5,200.0,3.1,2,2,1.31,17630.79,17583.82
Folk Paintings,Cotton Canvas,1528.6,53.3,120.0,4.7,3,4,1.27,14581.26,14838.21
Dhokra & Brass Craft,Copper Brass Blend,1208.16,17.6,85.0,4.4,4,3,1.37,5029.74,5953.21
Terracotta & Clay,Natural Alluvial Clay,1935.0,57.1,70.0,4.9,4,3,1.37,8898.0,12610.44
Folk Paintings,Cotton Canvas,1077.72,75.0,200.0,4.5,2,4,1.19,28296.79,28193.49
Handloom Textiles,Chanderi Cotton-Silk,265.67,15.8,100.0,4.1,1,3,1.13,2906.93,2725.08
Folk Paintings,Handmade Vasli Paper,2191.83,37.8,70.0,3.5,2,3,1.23,8514.58,8469.9
Folk Paintings,Tussar Silk Fabric,1084.2,59.2,70.0,4.9,1,2,1.14,8783.38,8145.45
Handloom Textiles,Mulberry Silk,1051.54,29.0,70.0,2.9,4,2,0.92,5546.77,4348.14
Carved Woodwork,Seasoned Teakwood,181.55,31.0,150.0,3.9,5,3,1.05,8757.18,8258.04
Carved Woodwork,Rosewood,1721.71,48.6,70.0,3.5,4,5,0.97,8915.26,7402.36
Carved Woodwork,Seasoned Teakwood,275.09,75.3,85.0,3.7,1,4,1.0,10163.59,8432.21
Folk Paintings,Tussar Silk Fabric,1995.21,73.5,120.0,4.5,5,5,0.96,21630.42,17612.42
Folk Paintings,Tussar Silk Fabric,1329.41,47.7,150.0,2.5,2,1,0.97,14932.56,10449.31
Carved Woodwork,Sheesham Wood,1575.39,29.3,180.0,2.7,5,1,1.18,12414.52,12301.73
Handloom Textiles,Mulberry Silk,387.57,17.6,85.0,3.5,5,2,1.12,3531.69,3107.68
Dhokra & Brass Craft,Copper Brass Blend,2065.58,66.6,85.0,3.2,2,5,0.93,13173.82,9054.49
Handloom Textiles,Chanderi Cotton-Silk,678.71,69.7,200.0,4.0,4,3,1.21,26313.68,25478.77
Terracotta & Clay,Terracotta Red Clay,527.31,7.6,200.0,4.5,5,3,1.01,3198.92,3279.51
Handloom Textiles,Chanderi Cotton-Silk,475.35,17.2,120.0,3.1,3,4,1.1,4380.38,3895.46
Handloom Textiles,Handspun Cotton,1249.57,32.5,200.0,3.0,4,3,0.93,13949.23,10660.32
Handloom Textiles,Chanderi Cotton-Silk,2204.84,46.0,150.0,2.8,2,1,1.35,15022.99,15220.84
Terracotta & Clay,Natural Alluvial Clay,1171.89,28.4,180.0,3.6,1,1,1.37,8247.61,10959.98
Carved Woodwork,Seasoned Teakwood,223.04,56.2,150.0,4.9,2,5,0.95,13801.6,12572.7
